ID_Orden,Fecha_Orden,Metodo_Envio,Nombre_Cliente,Segmento,Region,Provincia,Categoria,Subcategoria,Ventas,Cantidad,Descuento,Ganancia
CR-2022-01000,2022-11-17,Economico,Sofia Vargas,Consumidor,Pacifico,Puntarenas,Oficina,Papel,17.61,1,0.0,4.18
CR-2022-01000,2022-11-17,Economico,Sofia Vargas,Consumidor,Pacifico,Puntarenas,Oficina,Organizadores,64.28,2,0.05,15.31
CR-2022-01001,2022-01-14,Express,Sebastian Vega,Consumidor,Pacifico,Guanacaste,Muebles,Sillas,163.81,1,0.0,16.24
CR-2024-01002,2024-07-29,Express,Maria Lopez,Corporativo,Norte,San Carlos,Muebles,Sillas,1106.86,2,0.0,80.16
CR-2024-01002,2024-07-29,Estandar,Maria Lopez,Corporativo,Norte,San Carlos,Tecnologia,Accesorios,1241.08,1,0.05,372.61
CR-2023-01003,2023-12-29,Economico,Jose Garcia,Corporativo,Caribe,Limon,Tecnologia,Telefonos,243.89,1,0.15,59.02
CR-2023-01003,2023-12-29,Express,Jose Garcia,Corporativo,Caribe,Limon,Oficina,Impresion,104.04,2,0.0,49.81
CR-2023-01004,2023-12-03,Express,Carlos Ramirez,Corporativo,Caribe,Limon,Oficina,Impresion,71.53,1,0.0,26.79
CR-2023-01004,2023-12-03,Estandar,Carlos Ramirez,Corporativo,Caribe,Limon,Oficina,Papel,53.47,1,0.15,18.92
CR-2023-01004,2023-12-03,Express,Carlos Ramirez,Corporativo,Caribe,Limon,Tecnologia,Tablets,258.04,1,0.05,59.07
CR-2024-01005,2024-08-16,Estandar,Isabella Monge,Corporativo,Central,Alajuela,Muebles,Estantes,710.25,1,0.0,40.04
CR-2024-01005,2024-08-16,Economico,Isabella Monge,Corporativo,Central,Alajuela,Oficina,Utiles,230.96,2,0.0,92.41
CR-2024-01005,2024-08-16,Estandar,Isabella Monge,Corporativo,Central,Alajuela,Tecnologia,Accesorios,503.35,1,0.15,164.46
CR-2024-01006,2024-11-27,Estandar,Diego Hernandez,Consumidor,Caribe,Limon,Tecnologia,Telefonos,1889.16,2,0.15,396.37
CR-2024-01006,2024-11-27,Express,Diego Hernandez,Consumidor,Caribe,Limon,Oficina,Utiles,147.84,2,0.0,73.77
CR-2024-01006,2024-11-27,Economico,Diego Hernandez,Consumidor,Caribe,Limon,Oficina,Organizadores,206.12,2,0.1,63.81
